id,name,zipcode,country_id/id,state_id/id
city_co_01,MEDELLÍN,05001,base.co,base.state_co_01
city_co_02,ABEJORRAL,05002,base.co,base.state_co_01
city_co_03,ABRIAQUÍ,05004,base.co,base.state_co_01
city_co_04,ALEJANDRÍA,05021,base.co,base.state_co_01
city_co_05,AMAGÁ,05030,base.co,base.state_co_01
city_co_06,AMALFI,05031,base.co,base.state_co_01
city_co_07,ANDES,05034,base.co,base.state_co_01
city_co_08,ANGELÓPOLIS,05036,base.co,base.state_co_01
city_co_09,ANGOSTURA,05038,base.co,base.state_co_01
city_co_10,ANORÍ,05040,base.co,base.state_co_01
city_co_11,SANTA FÉ DE ANTIOQUIA,05042,base.co,base.state_co_01
city_co_12,ANZÁ,05044,base.co,base.state_co_01
city_co_13,APARTADÓ,05045,base.co,base.state_co_01
city_co_14,ARBOLETES,05051,base.co,base.state_co_01
city_co_15,ARGELIA,05055,base.co,base.state_co_01
city_co_16,ARMENIA,05059,base.co,base.state_co_01
city_co_17,BARBOSA,05079,base.co,base.state_co_01
city_co_18,BELMIRA,05086,base.co,base.state_co_01
city_co_19,BELLO,05088,base.co,base.state_co_01
city_co_20,BETANIA,05091,base.co,base.state_co_01
city_co_21,BETULIA,05093,base.co,base.state_co_01
city_co_22,CIUDAD BOLÍVAR,05101,base.co,base.state_co_01
city_co_23,BRICEÑO,05107,base.co,base.state_co_01
city_co_24,BURITICÁ,05113,base.co,base.state_co_01
city_co_25,CÁCERES,05120,base.co,base.state_co_01
city_co_26,CAICEDO,05125,base.co,base.state_co_01
city_co_27,CALDAS,05129,base.co,base.state_co_01
city_co_28,CAMPAMENTO,05134,base.co,base.state_co_01
city_co_29,CAÑASGORDAS,05138,base.co,base.state_co_01
city_co_30,CARACOLÍ,05142,base.co,base.state_co_01
city_co_31,CARAMANTA,05145,base.co,base.state_co_01
city_co_32,CAREPA,05147,base.co,base.state_co_01
city_co_33,EL CARMEN DE VIBORAL,05148,base.co,base.state_co_01
city_co_34,CAROLINA,05150,base.co,base.state_co_01
city_co_35,CAUCASIA,05154,base.co,base.state_co_01
city_co_36,CHIGORODÓ,05172,base.co,base.state_co_01
city_co_37,CISNEROS,05190,base.co,base.state_co_01
city_co_38,COCORNÁ,05197,base.co,base.state_co_01
city_co_39,CONCEPCIÓN,05206,base.co,base.state_co_01
city_co_40,CONCORDIA,05209,base.co,base.state_co_01
city_co_41,COPACABANA,05212,base.co,base.state_co_01
city_co_42,DABEIBA,05234,base.co,base.state_co_01
city_co_43,DONMATÍAS,05237,base.co,base.state_co_01
city_co_44,EBÉJICO,05240,base.co,base.state_co_01
city_co_45,EL BAGRE,05250,base.co,base.state_co_01
city_co_46,ENTRERRÍOS,05264,base.co,base.state_co_01
city_co_47,ENVIGADO,05266,base.co,base.state_co_01
city_co_48,FREDONIA,05282,base.co,base.state_co_01
city_co_49,FRONTINO,05284,base.co,base.state_co_01
city_co_50,GIRALDO,05306,base.co,base.state_co_01
city_co_51,GIRARDOTA,05308,base.co,base.state_co_01
city_co_52,GÓMEZ PLATA,05310,base.co,base.state_co_01
city_co_53,GRANADA,05313,base.co,base.state_co_01
city_co_54,GUADALUPE,05315,base.co,base.state_co_01
city_co_55,GUARNE,05318,base.co,base.state_co_01
city_co_56,GUATAPÉ,05321,base.co,base.state_co_01
city_co_57,HELICONIA,05347,base.co,base.state_co_01
city_co_58,HISPANIA,05353,base.co,base.state_co_01
city_co_59,ITAGÜÍ,05360,base.co,base.state_co_01
city_co_60,ITUANGO,05361,base.co,base.state_co_01
city_co_61,JARDÍN,05364,base.co,base.state_co_01
city_co_62,JERICÓ,05368,base.co,base.state_co_01
city_co_63,LA CEJA,05376,base.co,base.state_co_01
city_co_64,LA ESTRELLA,05380,base.co,base.state_co_01
city_co_65,LA PINTADA,05390,base.co,base.state_co_01
city_co_66,LA UNIÓN,05400,base.co,base.state_co_01
city_co_67,LIBORINA,05411,base.co,base.state_co_01
city_co_68,MACEO,05425,base.co,base.state_co_01
city_co_69,MARINILLA,05440,base.co,base.state_co_01
city_co_70,MONTEBELLO,05467,base.co,base.state_co_01
city_co_71,MURINDÓ,05475,base.co,base.state_co_01
city_co_72,MUTATÁ,05480,base.co,base.state_co_01
city_co_73,NARIÑO,05483,base.co,base.state_co_01
city_co_74,NECOCLÍ,05490,base.co,base.state_co_01
city_co_75,NECHÍ,05495,base.co,base.state_co_01
city_co_76,OLAYA,05501,base.co,base.state_co_01
city_co_77,PEÑOL,05541,base.co,base.state_co_01
city_co_78,PEQUE,05543,base.co,base.state_co_01
city_co_79,PUEBLORRICO,05576,base.co,base.state_co_01
city_co_80,PUERTO BERRÍO,05579,base.co,base.state_co_01
city_co_81,PUERTO NARE,05585,base.co,base.state_co_01
city_co_82,PUERTO TRIUNFO,05591,base.co,base.state_co_01
city_co_83,REMEDIOS,05604,base.co,base.state_co_01
city_co_84,RETIRO,05607,base.co,base.state_co_01
city_co_85,RIONEGRO,05615,base.co,base.state_co_01
city_co_86,SABANALARGA,05628,base.co,base.state_co_01
city_co_87,SABANETA,05631,base.co,base.state_co_01
city_co_88,SALGAR,05642,base.co,base.state_co_01
city_co_89,SAN ANDRÉS DE CUERQUÍA,05647,base.co,base.state_co_01
city_co_90,SAN CARLOS,05649,base.co,base.state_co_01
city_co_91,SAN FRANCISCO,05652,base.co,base.state_co_01
city_co_92,SAN JERÓNIMO,05656,base.co,base.state_co_01
city_co_93,SAN JOSÉ DE LA MONTAÑA,05658,base.co,base.state_co_01
city_co_94,SAN JUAN DE URABÁ,05659,base.co,base.state_co_01
city_co_95,SAN LUIS,05660,base.co,base.state_co_01
city_co_96,SAN PEDRO DE LOS MILAGROS,05664,base.co,base.state_co_01
city_co_97,SAN PEDRO DE URABÁ,05665,base.co,base.state_co_01
city_co_98,SAN RAFAEL,05667,base.co,base.state_co_01
city_co_99,SAN ROQUE,05670,base.co,base.state_co_01
city_co_100,SAN VICENTE FERRER,05674,base.co,base.state_co_01
city_co_101,SANTA BÁRBARA,05679,base.co,base.state_co_01
city_co_102,SANTA ROSA DE OSOS,05686,base.co,base.state_co_01
city_co_103,SANTO DOMINGO,05690,base.co,base.state_co_01
city_co_104,EL SANTUARIO,05697,base.co,base.state_co_01
city_co_105,SEGOVIA,5736,base.co,base.state_co_01
city_co_106,SONSÓN,5756,base.co,base.state_co_01
city_co_107,SOPETRÁN,5761,base.co,base.state_co_01
city_co_108,TÁMESIS,5789,base.co,base.state_co_01
city_co_109,TARAZÁ,5790,base.co,base.state_co_01
city_co_110,TARSO,5792,base.co,base.state_co_01
city_co_111,TITIRIBÍ,5809,base.co,base.state_co_01
city_co_112,TOLEDO,5819,base.co,base.state_co_01
city_co_113,TURBO,5837,base.co,base.state_co_01
city_co_114,URAMITA,5842,base.co,base.state_co_01
