segment_code,segment_name,family_code,family_name,class_code,class_name,product_code,id,name
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101015,Animales de granja,10101501,unspsc_code_10101501,Gatos
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101015,Animales de granja,10101502,unspsc_code_10101502,Perros
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101015,Animales de granja,10101504,unspsc_code_10101504,Visón
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101015,Animales de granja,10101505,unspsc_code_10101505,Ratas
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101015,Animales de granja,10101506,unspsc_code_10101506,Caballos
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101015,Animales de granja,10101507,unspsc_code_10101507,Ovejas
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101015,Animales de granja,10101508,unspsc_code_10101508,Cabras
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101015,Animales de granja,10101509,unspsc_code_10101509,Asnos
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101015,Animales de granja,10101510,unspsc_code_10101510,Ratones
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101015,Animales de granja,10101511,unspsc_code_10101511,Cerdos
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101015,Animales de granja,10101512,unspsc_code_10101512,Conejos
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101015,Animales de granja,10101513,unspsc_code_10101513,Cobayas o conejillos de indias
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101015,Animales de granja,10101514,unspsc_code_10101514,Primates
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101015,Animales de granja,10101515,unspsc_code_10101515,Armadillos
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101015,Animales de granja,10101516,unspsc_code_10101516,Ganado vacuno
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101015,Animales de granja,10101517,unspsc_code_10101517,Camellos
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101016,Pájaros y aves de corral,10101601,unspsc_code_10101601,Pollos vivos
10,"Material Vivo Vegetal y Animal, Accesorios y Suministros",1010,Animales vivos,101016,Pájaros y aves de corral,10101602,unspsc_code_10101602,Patos vivos
