id,code,description
l10n_co_ciiu_0722,"0722","Extracción de oro y otros metales preciosos"
l10n_co_ciiu_0723,"0723","Extracción de minerales de níquel"
l10n_co_ciiu_0729,"0729","Extracción de otros minerales metalíferos no ferrosos n.c.p."
l10n_co_ciiu_0811,"0811","Extracción de piedra, arena, arcillas comunes, yeso y anhidrita"
l10n_co_ciiu_0812,"0812","Extracción de arcillas de uso industrial, caliza, caolín y bentonitas"
l10n_co_ciiu_0820,"0820","Extracción de esmeraldas, piedras preciosas y semipreciosas"
l10n_co_ciiu_0891,"0891","Extracción de minerales para la fabricación de abonos y productos químicos"
l10n_co_ciiu_0892,"0892","Extracción de halita (sal)"
l10n_co_ciiu_0899,"0899","Extracción de otros minerales no metálicos n.c.p."
l10n_co_ciiu_0910,"0910","Actividades de apoyo para la extracción de petróleo y de gas natural"
l10n_co_ciiu_0990,"0990","Actividades de apoyo para otras actividades de explotación de minas y canteras"
l10n_co_ciiu_1011,"1011","Procesamiento y conservación de carne y productos cárnicos"
l10n_co_ciiu_1012,"1012","Procesamiento y conservación de pescados, crustáceos y moluscos"
l10n_co_ciiu_1020,"1020","Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos"
l10n_co_ciiu_1030,"1030","Elaboración de aceites y grasas de origen vegetal y animal"
l10n_co_ciiu_1040,"1040","Elaboración de productos lácteos"
l10n_co_ciiu_1051,"1051","Elaboración de productos de molinería"
l10n_co_ciiu_1052,"1052","Elaboración de almidones y productos derivados del almidón"
l10n_co_ciiu_1061,"1061","Trilla de café"
l10n_co_ciiu_1062,"1062","Descafeinado, tostión y molienda del café"
l10n_co_ciiu_1063,"1063","Otros derivados del café"
l10n_co_ciiu_1071,"1071","Elaboración y refinación de azúcar"
l10n_co_ciiu_1072,"1072","Elaboración de panela"
l10n_co_ciiu_1081,"1081","Elaboración de productos de panadería"
l10n_co_ciiu_1082,"1082","Elaboración de cacao, chocolate y productos de confitería"
l10n_co_ciiu_1083,"1083","Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares"
l10n_co_ciiu_1084,"1084","Elaboración de comidas y platos preparados"
l10n_co_ciiu_1089,"1089","Elaboración de otros productos alimenticios n.c.p."
l10n_co_ciiu_1090,"1090","Elaboración de alimentos preparados para animales"
l10n_co_ciiu_1101,"1101","Destilación, rectificación y mezcla de bebidas alcohólicas"
l10n_co_ciiu_1102,"1102","Elaboración de bebidas fermentadas no destiladas"
l10n_co_ciiu_1103,"1103","Producción de malta, elaboración de cervezas y otras bebidas malteadas"
l10n_co_ciiu_1104,"1104","Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas"
l10n_co_ciiu_1200,"1200","Elaboración de productos de tabaco"
l10n_co_ciiu_1311,"1311","Preparación e hilatura de fibras textiles"
l10n_co_ciiu_1312,"1312","Tejeduría de productos textiles"
l10n_co_ciiu_1313,"1313","Acabado de productos textiles"
l10n_co_ciiu_1391,"1391","Fabricación de tejidos de punto y ganchillo"
l10n_co_ciiu_1392,"1392","Confección de artículos con materiales textiles, excepto prendas de vestir"
l10n_co_ciiu_1393,"1393","Fabricación de tapetes y alfombras para pisos"
l10n_co_ciiu_1394,"1394","Fabricación de cuerdas, cordeles, cables, bramantes y redes"
l10n_co_ciiu_1399,"1399","Fabricación de otros artículos textiles n.c.p."
l10n_co_ciiu_1410,"1410","Confección de prendas de vestir, excepto prendas de piel"
l10n_co_ciiu_1420,"1420","Fabricación de artículos de piel"
l10n_co_ciiu_1430,"1430","Fabricación de artículos de punto y ganchillo"
l10n_co_ciiu_1511,"1511","Curtido y recurtido de cueros; recurtido y teñido de pieles"
l10n_co_ciiu_1512,"1512","Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de talabartería y guarnicionería"
l10n_co_ciiu_1513,"1513","Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales"
l10n_co_ciiu_1521,"1521","Fabricación de calzado de cuero y piel, con cualquier tipo de suela"
l10n_co_ciiu_1522,"1522","Fabricación de otros tipos de calzado, excepto calzado de cuero y piel"
l10n_co_ciiu_1523,"1523","Fabricación de partes del calzado"
l10n_co_ciiu_1610,"1610","Aserrado, acepillado e impregnación de la madera"
l10n_co_ciiu_1620,"1620","Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles"
l10n_co_ciiu_1630,"1630","Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción"
l10n_co_ciiu_1640,"1640","Fabricación de recipientes de madera"
l10n_co_ciiu_1690,"1690","Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería"
l10n_co_ciiu_1701,"1701","Fabricación de pulpas (pastas) celulósicas; papel y cartón"
l10n_co_ciiu_1702,"1702","Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón."
l10n_co_ciiu_1709,"1709","Fabricación de otros artículos de papel y cartón"
l10n_co_ciiu_1811,"1811","Actividades de impresión"
l10n_co_ciiu_1812,"1812","Actividades de servicios relacionados con la impresión"
l10n_co_ciiu_1820,"1820","Producción de copias a partir de grabaciones originales"
l10n_co_ciiu_1910,"1910","Fabricación de productos de hornos de coque"
l10n_co_ciiu_1921,"1921","Fabricación de productos de la refinación del petróleo"
l10n_co_ciiu_1922,"1922","Actividad de mezcla de combustibles"
l10n_co_ciiu_2011,"2011","Fabricación de sustancias y productos químicos básicos"
l10n_co_ciiu_2012,"2012","Fabricación de abonos y compuestos inorgánicos nitrogenados"
l10n_co_ciiu_2013,"2013","Fabricación de plásticos en formas primarias"
l10n_co_ciiu_2014,"2014","Fabricación de caucho sintético en formas primarias"
l10n_co_ciiu_2021,"2021","Fabricación de plaguicidas y otros productos químicos de uso agropecuario"
l10n_co_ciiu_2022,"2022","Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas"
l10n_co_ciiu_2023,"2023","Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador"
l10n_co_ciiu_2029,"2029","Fabricación de otros productos químicos n.c.p."
l10n_co_ciiu_2030,"2030","Fabricación de fibras sintéticas y artificiales"
l10n_co_ciiu_2100,"2100","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
l10n_co_ciiu_2211,"2211","Fabricación de llantas y neumáticos de caucho"
l10n_co_ciiu_2212,"2212","Reencauche de llantas usadas"
l10n_co_ciiu_2219,"2219","Fabricación de formas básicas de caucho y otros productos de caucho n.c.p."
l10n_co_ciiu_2221,"2221","Fabricación de formas básicas de plástico"
l10n_co_ciiu_2229,"2229","Fabricación de artículos de plástico n.c.p."
l10n_co_ciiu_2310,"2310","Fabricación de vidrio y productos de vidrio"
l10n_co_ciiu_2391,"2391","Fabricación de productos refractarios"
l10n_co_ciiu_2392,"2392","Fabricación de materiales de arcilla para la construcción"
l10n_co_ciiu_2393,"2393","Fabricación de otros productos de cerámica y porcelana"
l10n_co_ciiu_2394,"2394","Fabricación de cemento, cal y yeso"
l10n_co_ciiu_2395,"2395","Fabricación de artículos de hormigón, cemento y yeso"
l10n_co_ciiu_2396,"2396","Corte, tallado y acabado de la piedra"
l10n_co_ciiu_2399,"2399","Fabricación de otros productos minerales no metálicos n.c.p."
l10n_co_ciiu_2410,"2410","Industrias básicas de hierro y de acero"
l10n_co_ciiu_2421,"2421","Industrias básicas de metales preciosos"
l10n_co_ciiu_2429,"2429","Industrias básicas de otros metales no ferrosos"
l10n_co_ciiu_2431,"2431","Fundición de hierro y de acero"
l10n_co_ciiu_2432,"2432","Fundición de metales no ferrosos"
l10n_co_ciiu_2511,"2511","Fabricación de productos metálicos para uso estructural"
l10n_co_ciiu_2512,"2512","Fabricación de tanques, depósitos y recipientes de metal, excepto los utilizados para el envase o transporte de mercancías"
l10n_co_ciiu_2513,"2513","Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central"
l10n_co_ciiu_2520,"2520","Fabricación de armas y municiones"
l10n_co_ciiu_2591,"2591","Forja, prensado, estampado y laminado de metal; pulvimetalurgia"
l10n_co_ciiu_2592,"2592","Tratamiento y revestimiento de metales; mecanizado"
l10n_co_ciiu_2593,"2593","Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería"
l10n_co_ciiu_2599,"2599","Fabricación de otros productos elaborados de metal n.c.p."
l10n_co_ciiu_2610,"2610","Fabricación de componentes y tableros electrónicos"
l10n_co_ciiu_2620,"2620","Fabricación de computadoras y de equipo periférico"
l10n_co_ciiu_2630,"2630","Fabricación de equipos de comunicación"
l10n_co_ciiu_2640,"2640","Fabricación de aparatos electrónicos de consumo"
l10n_co_ciiu_2651,"2651","Fabricación de equipo de medición, prueba, navegación y control"
l10n_co_ciiu_2652,"2652","Fabricación de relojes"
l10n_co_ciiu_2660,"2660","Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico"
l10n_co_ciiu_2670,"2670","Fabricación de instrumentos ópticos y equipo fotográfico"
l10n_co_ciiu_2680,"2680","Fabricación de medios magnéticos y ópticos para almacenamiento de datos"
l10n_co_ciiu_2711,"2711","Fabricación de motores, generadores y transformadores eléctricos"
l10n_co_ciiu_2712,"2712","Fabricación de aparatos de distribución y control de la energía eléctrica"
l10n_co_ciiu_2720,"2720","Fabricación de pilas, baterías y acumuladores eléctricos"
l10n_co_ciiu_2731,"2731","Fabricación de hilos y cables eléctricos y de fibra óptica"
l10n_co_ciiu_2732,"2732","Fabricación de dispositivos de cableado"
l10n_co_ciiu_2740,"2740","Fabricación de equipos eléctricos de iluminación"
l10n_co_ciiu_2750,"2750","Fabricación de aparatos de uso doméstico"
l10n_co_ciiu_2790,"2790","Fabricación de otros tipos de equipo eléctrico n.c.p."
l10n_co_ciiu_2811,"2811","Fabricación de motores, turbinas, y partes para motores de combustión interna"
l10n_co_ciiu_2812,"2812","Fabricación de equipos de potencia hidráulica y neumática"
l10n_co_ciiu_2813,"2813","Fabricación de otras bombas, compresores, grifos y válvulas"
l10n_co_ciiu_2814,"2814","Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión"
l10n_co_ciiu_2815,"2815","Fabricación de hornos, hogares y quemadores industriales"
l10n_co_ciiu_2816,"2816","Fabricación de equipo de elevación y manipulación"
l10n_co_ciiu_2817,"2817","Fabricación de maquinaria y equipo de oficina (excepto computadoras y equipo periférico)"
l10n_co_ciiu_2818,"2818","Fabricación de herramientas manuales con motor"
l10n_co_ciiu_2819,"2819","Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p."
l10n_co_ciiu_2821,"2821","Fabricación de maquinaria agropecuaria y forestal"
l10n_co_ciiu_2822,"2822","Fabricación de máquinas formadoras de metal y de máquinas herramienta"
l10n_co_ciiu_2823,"2823","Fabricación de maquinaria para la metalurgia"
l10n_co_ciiu_2824,"2824","Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción"
l10n_co_ciiu_2825,"2825","Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco"
l10n_co_ciiu_2826,"2826","Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros"
l10n_co_ciiu_2829,"2829","Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p."
l10n_co_ciiu_2910,"2910","Fabricación de vehículos automotores y sus motores"
l10n_co_ciiu_2920,"2920","Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques"
l10n_co_ciiu_2930,"2930","Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores"
l10n_co_ciiu_3011,"3011","Construcción de barcos y de estructuras flotantes"
l10n_co_ciiu_3012,"3012","Construcción de embarcaciones de recreo y deporte"
l10n_co_ciiu_3020,"3020","Fabricación de locomotoras y de material rodante para ferrocarriles"
l10n_co_ciiu_3030,"3030","Fabricación de aeronaves, naves espaciales y de maquinaria conexa"
l10n_co_ciiu_3040,"3040","Fabricación de vehículos militares de combate"
l10n_co_ciiu_3091,"3091","Fabricación de motocicletas"
l10n_co_ciiu_3092,"3092","Fabricación de bicicletas y de sillas de ruedas para personas con discapacidad"
l10n_co_ciiu_3099,"3099","Fabricación de otros tipos de equipo de transporte n.c.p."
l10n_co_ciiu_3110,"3110","Fabricación de muebles"
l10n_co_ciiu_3120,"3120","Fabricación de colchones y somieres"
l10n_co_ciiu_3210,"3210","Fabricación de joyas, bisutería y artículos conexos"
l10n_co_ciiu_3220,"3220","Fabricación de instrumentos musicales"
l10n_co_ciiu_3230,"3230","Fabricación de artículos y equipo para la práctica del deporte"
l10n_co_ciiu_3240,"3240","Fabricación de juegos, juguetes y rompecabezas"
l10n_co_ciiu_3250,"3250","Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)"
l10n_co_ciiu_3290,"3290","Otras industrias manufactureras n.c.p."
l10n_co_ciiu_3311,"3311","Mantenimiento y reparación especializado de productos elaborados en metal"
l10n_co_ciiu_3312,"3312","Mantenimiento y reparación especializado de maquinaria y equipo"
l10n_co_ciiu_3313,"3313","Mantenimiento y reparación especializado de equipo electrónico y óptico"
l10n_co_ciiu_3314,"3314","Mantenimiento y reparación especializado de equipo eléctrico"
l10n_co_ciiu_3315,"3315","Mantenimiento y reparación especializado de equipo de transporte, excepto los vehículos automotores, motocicletas y bicicletas"
l10n_co_ciiu_3319,"3319","Mantenimiento y reparación de otros tipos de equipos y sus componentes n.c.p."
l10n_co_ciiu_3320,"3320","Instalación especializada de maquinaria y equipo industrial"
l10n_co_ciiu_3511,"3511","Generación de energía eléctrica"
l10n_co_ciiu_3512,"3512","Transmisión de energía eléctrica"
l10n_co_ciiu_3513,"3513","Distribución de energía eléctrica"
l10n_co_ciiu_3514,"3514","Comercialización de energía eléctrica"
l10n_co_ciiu_3520,"3520","Producción de gas; distribución de combustibles gaseosos por tuberías"
l10n_co_ciiu_3530,"3530","Suministro de vapor y aire acondicionado"
l10n_co_ciiu_3600,"3600","Captación, tratamiento y distribución de agua"
l10n_co_ciiu_3700,"3700","Evacuación y tratamiento de aguas residuales"
l10n_co_ciiu_3811,"3811","Recolección de desechos no peligrosos"
l10n_co_ciiu_3812,"3812","Recolección de desechos peligrosos"
l10n_co_ciiu_3821,"3821","Tratamiento y disposición de desechos no peligrosos"
l10n_co_ciiu_3822,"3822","Tratamiento y disposición de desechos peligrosos"
l10n_co_ciiu_3830,"3830","Recuperación de materiales"
l10n_co_ciiu_3900,"3900","Actividades de saneamiento ambiental y otros servicios de gestión de desechos"
l10n_co_ciiu_4111,"4111","Construcción de edificios residenciales"
l10n_co_ciiu_4112,"4112","Construcción de edificios no residenciales"
l10n_co_ciiu_4210,"4210","Construcción de carreteras y vías de ferrocarril"
l10n_co_ciiu_4220,"4220","Construcción de proyectos de servicio público"
l10n_co_ciiu_4290,"4290","Construcción de otras obras de ingeniería civil"
l10n_co_ciiu_4311,"4311","Demolición"
l10n_co_ciiu_4312,"4312","Preparación del terreno"
l10n_co_ciiu_4321,"4321","Instalaciones eléctricas"
l10n_co_ciiu_4322,"4322","Instalaciones de fontanería, calefacción y aire acondicionado"
l10n_co_ciiu_4329,"4329","Otras instalaciones especializadas"
l10n_co_ciiu_4330,"4330","Terminación y acabado de edificios y obras de ingeniería civil"
l10n_co_ciiu_4390,"4390","Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil"
l10n_co_ciiu_4511,"4511","Comercio de vehículos automotores nuevos"
l10n_co_ciiu_4512,"4512","Comercio de vehículos automotores usados"
l10n_co_ciiu_4520,"4520","Mantenimiento y reparación de vehículos automotores"
l10n_co_ciiu_4530,"4530","Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores"
l10n_co_ciiu_4541,"4541","Comercio de motocicletas y de sus partes, piezas y accesorios"
l10n_co_ciiu_4542,"4542","Mantenimiento y reparación de motocicletas y de sus partes y piezas"
l10n_co_ciiu_4610,"4610","Comercio al por mayor a cambio de una retribución o por contrata"
l10n_co_ciiu_4620,"4620","Comercio al por mayor de materias primas agropecuarias; animales vivos"
l10n_co_ciiu_4631,"4631","Comercio al por mayor de productos alimenticios"
l10n_co_ciiu_4632,"4632","Comercio al por mayor de bebidas y tabaco"
l10n_co_ciiu_4641,"4641","Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico"
l10n_co_ciiu_4642,"4642","Comercio al por mayor de prendas de vestir"
l10n_co_ciiu_4643,"4643","Comercio al por mayor de calzado"
l10n_co_ciiu_4644,"4644","Comercio al por mayor de aparatos y equipo de uso doméstico"
l10n_co_ciiu_4645,"4645","Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
l10n_co_ciiu_4649,"4649","Comercio al por mayor de otros utensilios domésticos n.c.p."
l10n_co_ciiu_4651,"4651","Comercio al por mayor de computadores, equipo periférico y programas de informática"
l10n_co_ciiu_4652,"4652","Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones"
l10n_co_ciiu_4653,"4653","Comercio al por mayor de maquinaria y equipo agropecuarios"
l10n_co_ciiu_4659,"4659","Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p."
l10n_co_ciiu_4661,"4661","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
l10n_co_ciiu_4662,"4662","Comercio al por mayor de metales y productos metalíferos"
l10n_co_ciiu_4663,"4663","Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción"
l10n_co_ciiu_4664,"4664","Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario"
l10n_co_ciiu_4665,"4665","Comercio al por mayor de desperdicios, desechos y chatarra"
l10n_co_ciiu_4669,"4669","Comercio al por mayor de otros productos n.c.p."
l10n_co_ciiu_4690,"4690","Comercio al por mayor no especializado"
l10n_co_ciiu_4711,"4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
l10n_co_ciiu_4719,"4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas y tabaco"
l10n_co_ciiu_4721,"4721","Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados
l10n_co_ciiu_4722,"4722","Comercio al por menor de leche, productos lácteos y huevos, en establecimientos especializados"
l10n_co_ciiu_4723,"4723","Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados"
l10n_co_ciiu_4724,"4724","Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados"
l10n_co_ciiu_4729,"4729","Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados"
l10n_co_ciiu_4731,"4731","Comercio al por menor de combustible para automotores"
l10n_co_ciiu_4732,"4732","Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehículos automotores"
l10n_co_ciiu_4741,"4741","Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados"
l10n_co_ciiu_4742,"4742","Comercio al por menor de equipos y aparatos de sonido y de video, en establecimientos especializados"
l10n_co_ciiu_4751,"4751","Comercio al por menor de productos textiles en establecimientos especializados"
l10n_co_ciiu_4752,"4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados"
l10n_co_ciiu_4753,"4753","Comercio al por menor de tapices, alfombras y cubrimientos para paredes y pisos en establecimientos especializados"
l10n_co_ciiu_4754,"4754","Comercio al por menor de electrodomésticos y gasodomésticos de uso doméstico, muebles y equipos de iluminación"
l10n_co_ciiu_4755,"4755","Comercio al por menor de artículos y utensilios de uso doméstico"
l10n_co_ciiu_4759,"4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados"
l10n_co_ciiu_4761,"4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados"
l10n_co_ciiu_4762,"4762","Comercio al por menor de artículos deportivos, en establecimientos especializados"
l10n_co_ciiu_4769,"4769","Comercio al por menor de otros artículos culturales y de entretenimiento n.c.p. en establecimientos especializados"
l10n_co_ciiu_4771,"4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados"
l10n_co_ciiu_4772,"4772","Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados."
l10n_co_ciiu_4773,"4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados"
l10n_co_ciiu_4774,"4774","Comercio al por menor de otros productos nuevos en establecimientos especializados"
l10n_co_ciiu_4775,"4775","Comercio al por menor de artículos de segunda mano"
l10n_co_ciiu_4781,"4781","Comercio al por menor de alimentos, bebidas y tabaco, en puestos de venta móviles"
l10n_co_ciiu_4782,"4782","Comercio al por menor de productos textiles, prendas de vestir y calzado, en puestos de venta móviles"
l10n_co_ciiu_4789,"4789","Comercio al por menor de otros productos en puestos de venta móviles"
l10n_co_ciiu_4791,"4791","Comercio al por menor realizado a través de Internet"
l10n_co_ciiu_4792,"4792","Comercio al por menor realizado a través de casas de venta o por correo"
l10n_co_ciiu_4799,"4799","Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados."
l10n_co_ciiu_4911,"4911","Transporte férreo de pasajeros"
l10n_co_ciiu_4912,"4912","Transporte férreo de carga"
l10n_co_ciiu_4921,"4921","Transporte de pasajeros"
l10n_co_ciiu_4922,"4922","Transporte mixto"
l10n_co_ciiu_4923,"4923","Transporte de carga por carretera"
l10n_co_ciiu_4930,"4930","Transporte por tuberías"
l10n_co_ciiu_5011,"5011","Transporte de pasajeros marítimo y de cabotaje"
l10n_co_ciiu_5012,"5012","Transporte de carga marítimo y de cabotaje"
l10n_co_ciiu_5021,"5021","Transporte fluvial de pasajeros"
l10n_co_ciiu_5022,"5022","Transporte fluvial de carga"
l10n_co_ciiu_5111,"5111","Transporte aéreo nacional de pasajeros"
l10n_co_ciiu_5112,"5112","Transporte aéreo internacional de pasajeros"
l10n_co_ciiu_5121,"5121","Transporte aéreo nacional de carga"
l10n_co_ciiu_5122,"5122","Transporte aéreo internacional de carga"
l10n_co_ciiu_5210,"5210","Almacenamiento y depósito"
l10n_co_ciiu_5221,"5221","Actividades de estaciones, vías y servicios complementarios para el transporte terrestre"
l10n_co_ciiu_5222,"5222","Actividades de puertos y servicios complementarios para el transporte acuático"
l10n_co_ciiu_5223,"5223","Actividades de aeropuertos, servicios de navegación aérea y demás actividades conexas al transporte aéreo"
l10n_co_ciiu_5224,"5224","Manipulación de carga"
l10n_co_ciiu_5229,"5229","Otras actividades complementarias al transporte"
l10n_co_ciiu_5310,"5310","Actividades postales nacionales"
l10n_co_ciiu_5320,"5320","Actividades de mensajería"
l10n_co_ciiu_5511,"5511","Alojamiento en hoteles"
l10n_co_ciiu_5512,"5512","Alojamiento en apartahoteles"
l10n_co_ciiu_5513,"5513","Alojamiento en centros vacacionales"
l10n_co_ciiu_5514,"5514","Alojamiento rural"
l10n_co_ciiu_5519,"5519","Otros tipos de alojamientos para visitantes"
l10n_co_ciiu_5520,"5520","Actividades de zonas de camping y parques para vehículos recreacionales"
l10n_co_ciiu_5530,"5530","Servicio por horas"
l10n_co_ciiu_5590,"5590","Otros tipos de alojamiento n.c.p."
l10n_co_ciiu_5611,"5611","Expendio a la mesa de comidas preparadas"
l10n_co_ciiu_5612,"5612","Expendio por autoservicio de comidas preparadas"
l10n_co_ciiu_5613,"5613","Expendio de comidas preparadas en cafeterías"
l10n_co_ciiu_5619,"5619","Otros tipos de expendio de comidas preparadas n.c.p."
l10n_co_ciiu_5621,"5621","Catering para eventos"
l10n_co_ciiu_5629,"5629","Actividades de otros servicios de comidas"
l10n_co_ciiu_5630,"5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento"
l10n_co_ciiu_5811,"5811","Edición de libros"
l10n_co_ciiu_5812,"5812","Edición de directorios y listas de correo"
l10n_co_ciiu_5813,"5813","Edición de periódicos, revistas y otras publicaciones periódicas"
l10n_co_ciiu_5819,"5819","Otros trabajos de edición"
l10n_co_ciiu_5820,"5820","Edición de programas de informática (software)"
l10n_co_ciiu_5911,"5911","Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión"
l10n_co_ciiu_5912,"5912","Actividades de posproducción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión"
l10n_co_ciiu_5913,"5913","Actividades de distribución de películas cinematográficas, videos, programas, anuncios y comerciales de televisión"
l10n_co_ciiu_5914,"5914","Actividades de exhibición de películas cinematográficas y videos"
l10n_co_ciiu_5920,"5920","Actividades de grabación de sonido y edición de música"
l10n_co_ciiu_6010,"6010","Actividades de programación y transmisión en el servicio de radiodifusión sonora"
l10n_co_ciiu_6020,"6020","Actividades de programación y transmisión de televisión"
l10n_co_ciiu_6110,"6110","Actividades de telecomunicaciones alámbricas"
