id,code,description
l10n_co_ciiu_0111,"0111","Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas"
l10n_co_ciiu_0112,"0112","Cultivo de arroz"
l10n_co_ciiu_0113,"0113","Cultivo de hortalizas, raíces y tubérculos"
l10n_co_ciiu_0114,"0114","Cultivo de tabaco"
l10n_co_ciiu_0115,"0115","Cultivo de plantas textiles"
l10n_co_ciiu_0119,"0119","Otros cultivos transitorios n.c.p."
l10n_co_ciiu_0121,"0121","Cultivo de frutas tropicales y subtropicales"
l10n_co_ciiu_0122,"0122","Cultivo de plátano y banano"
l10n_co_ciiu_0123,"0123","Cultivo de café"
l10n_co_ciiu_0124,"0124","Cultivo de caña de azúcar"
l10n_co_ciiu_0125,"0125","Cultivo de flor de corte"
l10n_co_ciiu_0126,"0126","Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos"
l10n_co_ciiu_0127,"0127","Cultivo de plantas con las que se preparan bebidas"
l10n_co_ciiu_0128,"0128","Cultivo de especias y de plantas aromáticas y medicinales"
l10n_co_ciiu_0129,"0129","Otros cultivos permanentes n.c.p."
l10n_co_ciiu_0130,"0130","Propagación de plantas (actividades de los viveros, excepto viveros forestales)"
l10n_co_ciiu_0141,"0141","Cría de ganado bovino y bufalino"
l10n_co_ciiu_0142,"0142","Cría de caballos y otros equinos"
l10n_co_ciiu_0143,"0143","Cría de ovejas y cabras"
l10n_co_ciiu_0144,"0144","Cría de ganado porcino"
l10n_co_ciiu_0145,"0145","Cría de aves de corral"
l10n_co_ciiu_0149,"0149","Cría de otros animales n.c.p."
l10n_co_ciiu_0150,"0150","Explotación mixta (agrícola y pecuaria)"
l10n_co_ciiu_0161,"0161","Actividades de apoyo a la agricultura"
l10n_co_ciiu_0162,"0162","Actividades de apoyo a la ganadería"
l10n_co_ciiu_0163,"0163","Actividades posteriores a la cosecha"
l10n_co_ciiu_0164,"0164","Tratamiento de semillas para propagación"
l10n_co_ciiu_0170,"0170","Caza ordinaria y mediante trampas y actividades de servicios conexas"
l10n_co_ciiu_0210,"0210","Silvicultura y otras actividades forestales"
l10n_co_ciiu_0220,"0220","Extracción de madera"
l10n_co_ciiu_0230,"0230","Recolección de productos forestales diferentes a la madera"
l10n_co_ciiu_0240,"0240","Servicios de apoyo a la silvicultura"
l10n_co_ciiu_0311,"0311","Pesca marítima"
l10n_co_ciiu_0312,"0312","Pesca de agua dulce"
l10n_co_ciiu_0321,"0321","Acuicultura marítima"
l10n_co_ciiu_0322,"0322","Acuicultura de agua dulce"
l10n_co_ciiu_0510,"0510","Extracción de hulla (carbón de piedra)"
l10n_co_ciiu_0520,"0520","Extracción de carbón lignito"
l10n_co_ciiu_0610,"0610","Extracción de petróleo crudo"
l10n_co_ciiu_0620,"0620","Extracción de gas natural"
l10n_co_ciiu_0710,"0710","Extracción de minerales de hierro"
l10n_co_ciiu_0721,"0721","Extracción de minerales de uranio y de torio"
