"id","name","code","department_id"
"1","Medellín","05001","2"
"2","Abejorral","05002","2"
"3","Abriaquí","05004","2"
"4","Alejandría","05021","2"
"5","Amagá","05030","2"
"6","Amalfi","05031","2"
"7","Andes","05034","2"
"8","Angelópolis","05036","2"
"9","Angostura","05038","2"
"10","Anorí","05040","2"
"11","Santa Fé De Antioquia","05042","2"
"12","Anzá","05044","2"
"13","Apartadó","05045","2"
"14","Arboletes","05051","2"
"15","Argelia","05055","2"
"16","Armenia","05059","2"
"17","Barbosa","05079","2"
"18","Belmira","05086","2"
"19","Bello","05088","2"
"20","Betania","05091","2"
"21","Betulia","05093","2"
"22","Ciudad Bolívar ","05101","2"
"23","Briceño","05107","2"
"24","Buriticá","05113","2"
"25","Cáceres","05120","2"
"26","Caicedo","05125","2"
"27","Caldas","05129","2"
"28","Campamento","05134","2"
"29","Cañasgordas","05138","2"
"30","Caracolí","05142","2"
"31","Caramanta","05145","2"
"32","Carepa","05147","2"
"33","El Carmen De Viboral","05148","2"
"34","Carolina","05150","2"
"35","Caucasia","05154","2"
"36","Chigorodó","05172","2"
"37","Cisneros","05190","2"
"38","Cocorná","05197","2"
"39","Concepción","05206","2"
"40","Concordia","05209","2"
"41","Copacabana","05212","2"
"42","Dabeiba","05234","2"
"43","Donmatías","05237","2"
"44","Ebéjico","05240","2"
"45","El Bagre ","05250","2"
"46","Entrerríos","05264","2"
"47","Envigado","05266","2"
"48","Fredonia","05282","2"
"49","Frontino","05284","2"
"50","Giraldo","05306","2"
"51","Girardota","05308","2"
"52","Gómez Plata ","05310","2"
"53","Granada","05313","2"
"54","Guadalupe","05315","2"
"55","Guarne","05318","2"
"56","Guatapé","05321","2"
"57","Heliconia","05347","2"
"58","Hispania","05353","2"
"59","Itagüí","05360","2"
"60","Ituango","05361","2"
"61","Jardín","05364","2"
"62","Jericó","05368","2"
"63","La Ceja ","05376","2"
"64","La Estrella ","05380","2"
"65","La Pintada ","05390","2"
"66","La Unión ","05400","2"
"67","Liborina","05411","2"
"68","Maceo","05425","2"
"69","Marinilla","05440","2"
"70","Montebello","05467","2"
"71","Murindó","05475","2"
"72","Mutatá","05480","2"
"73","Nariño","05483","2"
"74","Necoclí","05490","2"
"75","Nechí","05495","2"
"76","Olaya","05501","2"
"77","Peñol","05541","2"
"78","Peque","05543","2"
"79","Pueblorrico","05576","2"
"80","Puerto Berrío ","05579","2"
"81","Puerto Nare ","05585","2"
"82","Puerto Triunfo ","05591","2"
"83","Remedios","05604","2"
"84","Retiro","05607","2"
"85","Rionegro","05615","2"
"86","Sabanalarga","05628","2"
"87","Sabaneta","05631","2"
"88","Salgar","05642","2"
"89","San Andrés De Cuerquía","05647","2"
"90","San Carlos ","05649","2"
"91","San Francisco ","05652","2"
"92","San Jerónimo ","05656","2"
"93","San José De La Montaña ","05658","2"
"94","San Juan De Urabá","05659","2"
"95","San Luis ","05660","2"
"96","San Pedro De Los Milagros ","05664","2"
"97","San Pedro De Urabá","05665","2"
"98","San Rafael ","05667","2"
"99","San Roque ","05670","2"
"100","San Vicente Ferrer","05674","2"
"101","Santa Bárbara ","05679","2"
"102","Santa Rosa De Osos","05686","2"
"103","Santo Domingo ","05690","2"
"104","El Santuario ","05697","2"
"105","Segovia","05736","2"
"106","Sonsón","05756","2"
"107","Sopetrán","05761","2"
"108","Támesis","05789","2"
"109","Tarazá","05790","2"
"110","Tarso","05792","2"
"111","Titiribí","05809","2"
"112","Toledo","05819","2"
"113","Turbo","05837","2"
"114","Uramita","05842","2"
"115","Urrao","05847","2"
"116","Valdivia","05854","2"
"117","Valparaíso","05856","2"
"118","Vegachí","05858","2"
"119","Venecia","05861","2"
"120","Vigía Del Fuerte","05873","2"
"121","Yalí","05885","2"
"122","Yarumal","05887","2"
"123","Yolombó","05890","2"
"124","Yondó","05893","2"
"125","Zaragoza","05895","2"
"126","Barranquilla","08001","4"
"127","Baranoa","08078","4"
"128","Campo De La Cruz","08137","4"
"129","Candelaria","08141","4"
"130","Galapa","08296","4"
"131","Juan De Acosta","08372","4"
"132","Luruaco","08421","4"
"133","Malambo","08433","4"
"134","Manatí","08436","4"
"135","Palmar De Varela","08520","4"
"136","Piojó","08549","4"
"137","Polonuevo","08558","4"
"138","Ponedera","08560","4"
"139","Puerto Colombia ","08573","4"
"140","Repelón","08606","4"
"141","Sabanagrande","08634","4"
"142","Sabanalarga","08638","4"
"143","Santa Lucía ","08675","4"
"144","Santo Tomás ","08685","4"
"145","Soledad","08758","4"
"146","Suan","08770","4"
"147","Tubará","08832","4"
"148","Usiacurí","08849","4"
"149","Bogotá, D.c. ","11001","5"
"150","Cartagena De Indias","13001","6"
"151","Achí","13006","6"
"152","Altos Del Rosario","13030","6"
"153","Arenal","13042","6"
"154","Arjona","13052","6"
"155","Arroyohondo","13062","6"
"156","Barranco De Loba","13074","6"
"157","Calamar","13140","6"
"158","Cantagallo","13160","6"
"159","Cicuco","13188","6"
"160","Córdoba","13212","6"
"161","Clemencia","13222","6"
"162","El Carmen De Bolívar","13244","6"
"163","El Guamo ","13248","6"
"164","El Peñón ","13268","6"
"165","Hatillo De Loba","13300","6"
"166","Magangué","13430","6"
"167","Mahates","13433","6"
"168","Margarita","13440","6"
"169","María La Baja","13442","6"
"170","Montecristo","13458","6"
"171","Mompós","13468","6"
"172","Morales","13473","6"
"173","Norosí","13490","6"
"174","Pinillos","13549","6"
"175","Regidor","13580","6"
"176","Río Viejo ","13600","6"
"177","San Cristóbal ","13620","6"
"178","San Estanislao ","13647","6"
"179","San Fernando ","13650","6"
"180","San Jacinto ","13654","6"
"181","San Jacinto Del Cauca","13655","6"
"182","San Juan Nepomuceno","13657","6"
"183","San Martín De Loba","13667","6"
"184","San Pablo ","13670","6"
"185","Santa Catalina ","13673","6"
"186","Santa Rosa ","13683","6"
"187","Santa Rosa Del Sur","13688","6"
"188","Simití","13744","6"
"189","Soplaviento","13760","6"
"190","Talaigua Nuevo ","13780","6"
"191","Tiquisio","13810","6"
"192","Turbaco","13836","6"
"193","Turbaná","13838","6"
"194","Villanueva","13873","6"
"195","Zambrano","13894","6"
"196","Tunja","15001","7"
"197","Almeida","15022","7"
"198","Aquitania","15047","7"
"199","Arcabuco","15051","7"
"200","Belén","15087","7"
"201","Berbeo","15090","7"
"202","Betéitiva","15092","7"
"203","Boavita","15097","7"
"204","Boyacá","15104","7"
"205","Briceño","15106","7"
"206","Buenavista","15109","7"
"207","Busbanzá","15114","7"
"208","Caldas","15131","7"
"209","Campohermoso","15135","7"
"210","Cerinza","15162","7"
"211","Chinavita","15172","7"
"212","Chiquinquirá","15176","7"
"213","Chiscas","15180","7"
"214","Chita","15183","7"
"215","Chitaraque","15185","7"
"216","Chivatá","15187","7"
"217","Ciénega","15189","7"
"218","Cómbita","15204","7"
"219","Coper","15212","7"
"220","Corrales","15215","7"
"221","Covarachía","15218","7"
"222","Cubará","15223","7"
"223","Cucaita","15224","7"
"224","Cuítiva","15226","7"
"225","Chíquiza","15232","7"
"226","Chivor","15236","7"
"227","Duitama","15238","7"
"228","El Cocuy ","15244","7"
"229","El Espino ","15248","7"
"230","Firavitoba","15272","7"
"231","Floresta","15276","7"
"232","Gachantivá","15293","7"
"233","Gámeza","15296","7"
"234","Garagoa","15299","7"
"235","Guacamayas","15317","7"
"236","Guateque","15322","7"
"237","Guayatá","15325","7"
"238","Güicán De La Sierra","15332","7"
"239","Iza","15362","7"
"240","Jenesano","15367","7"
"241","Jericó","15368","7"
"242","Labranzagrande","15377","7"
"243","La Capilla ","15380","7"
"244","La Victoria ","15401","7"
"245","La Uvita ","15403","7"
"246","Villa De Leyva","15407","7"
"247","Macanal","15425","7"
"248","Maripí","15442","7"
"249","Miraflores","15455","7"
"250","Mongua","15464","7"
"251","Monguí","15466","7"
"252","Moniquirá","15469","7"
"253","Motavita","15476","7"
"254","Muzo","15480","7"
"255","Nobsa","15491","7"
"256","Nuevo Colón ","15494","7"
"257","Oicatá","15500","7"
"258","Otanche","15507","7"
"259","Pachavita","15511","7"
"260","Páez","15514","7"
"261","Paipa","15516","7"
"262","Pajarito","15518","7"
"263","Panqueba","15522","7"
"264","Pauna","15531","7"
"265","Paya","15533","7"
"266","Paz De Río","15537","7"
"267","Pesca","15542","7"
"268","Pisba","15550","7"
"269","Puerto Boyacá ","15572","7"
"270","Quípama","15580","7"
"271","Ramiriquí","15599","7"
"272","Ráquira","15600","7"
"273","Rondón","15621","7"
"274","Saboyá","15632","7"
"275","Sáchica","15638","7"
"276","Samacá","15646","7"
"277","San Eduardo ","15660","7"
"278","San José De Pare","15664","7"
"279","San Luis De Gaceno","15667","7"
"280","San Mateo ","15673","7"
"281","San Miguel De Sema","15676","7"
"282","San Pablo De Borbur","15681","7"
"283","Santana","15686","7"
"284","Santa María ","15690","7"
"285","Santa Rosa De Viterbo","15693","7"
"286","Santa Sofía ","15696","7"
"287","Sativanorte","15720","7"
"288","Sativasur","15723","7"
"289","Siachoque","15740","7"
"290","Soatá","15753","7"
"291","Socotá","15755","7"
"292","Socha","15757","7"
"293","Sogamoso","15759","7"
"294","Somondoco","15761","7"
"295","Sora","15762","7"
"296","Sotaquirá","15763","7"
"297","Soracá","15764","7"
"298","Susacón","15774","7"
"299","Sutamarchán","15776","7"
"300","Sutatenza","15778","7"
"301","Tasco","15790","7"
"302","Tenza","15798","7"
"303","Tibaná","15804","7"
"304","Tibasosa","15806","7"
"305","Tinjacá","15808","7"
"306","Tipacoque","15810","7"
"307","Toca","15814","7"
"308","Togüí","15816","7"
"309","Tópaga","15820","7"
"310","Tota","15822","7"
"311","Tununguá","15832","7"
"312","Turmequé","15835","7"
"313","Tuta","15837","7"
"314","Tutazá","15839","7"
"315","Úmbita","15842","7"
"316","Ventaquemada","15861","7"
"317","Viracachá","15879","7"
"318","Zetaquira","15897","7"
"319","Manizales","17001","8"
"320","Aguadas","17013","8"
"321","Anserma","17042","8"
"322","Aranzazu","17050","8"
"323","Belalcázar","17088","8"
"324","Chinchiná","17174","8"
"325","Filadelfia","17272","8"
"326","La Dorada ","17380","8"
"327","La Merced ","17388","8"
"328","Manzanares","17433","8"
"329","Marmato","17442","8"
"330","Marquetalia","17444","8"
"331","Marulanda","17446","8"
"332","Neira","17486","8"
"333","Norcasia","17495","8"
"334","Pácora","17513","8"
"335","Palestina","17524","8"
"336","Pensilvania","17541","8"
"337","Riosucio","17614","8"
"338","Risaralda","17616","8"
"339","Salamina","17653","8"
"340","Samaná","17662","8"
"341","San José ","17665","8"
"342","Supía","17777","8"
"343","Victoria","17867","8"
"344","Villamaría","17873","8"
"345","Viterbo","17877","8"
"346","Florencia","18001","9"
"347","Albania","18029","9"
"348","Belén De Los Andaquíes","18094","9"
"349","Cartagena Del Chairá","18150","9"
"350","Curillo","18205","9"
"351","El Doncello ","18247","9"
"352","El Paujíl ","18256","9"
"353","La Montañita ","18410","9"
"354","Milán","18460","9"
"355","Morelia","18479","9"
"356","Puerto Rico ","18592","9"
"357","San José Del Fragua","18610","9"
"358","San Vicente Del Caguán","18753","9"
"359","Solano","18756","9"
"360","Solita","18785","9"
"361","Valparaíso","18860","9"
"362","Popayán","19001","11"
"363","Almaguer","19022","11"
"364","Argelia","19050","11"
"365","Balboa","19075","11"
"366","Bolívar","19100","11"
"367","Buenos Aires ","19110","11"
"368","Cajibío","19130","11"
