"id","code","name"
"5001","05001","MEDELLIN"
"5002","05002","ABEJORRAL"
"5004","05004","ABRIAQUI"
"5021","05021","ALEJANDRIA"
"5030","05030","AMAGA"
"5031","05031","AMALFI"
"5034","05034","ANDES"
"5036","05036","ANGELOPOLIS"
"5038","05038","ANGOSTURA"
"5040","05040","ANORI"
"5042","05042","SANTAFE DE ANTIOQUIA"
"5044","05044","ANZA"
"5045","05045","APARTADO"
"5051","05051","ARBOLETES"
"5055","05055","ARGELIA"
"5059","05059","ARMENIA"
"5079","05079","BARBOSA"
"5086","05086","BELMIRA"
"5088","05088","BELLO"
"5091","05091","BETANIA"
"5093","05093","BETULIA"
"5101","05101","CIUDAD BOLIVAR"
"5107","05107","BRICENO"
"5113","05113","BURITICA"
"5120","05120","CACERES"
"5125","05125","CAICEDO"
"5129","05129","CALDAS"
"5134","05134","CAMPAMENTO"
"5138","05138","CANASGORDAS"
"5142","05142","CARACOLI"
"5145","05145","CARAMANTA"
"5147","05147","CAREPA"
"5148","05148","EL CARMEN DE VIBORAL"
"5150","05150","CAROLINA"
"5154","05154","CAUCASIA"
"5172","05172","CHIGORODO"
"5190","05190","CISNEROS"
"5197","05197","COCORNA"
"5206","05206","CONCEPCION"
"5209","05209","CONCORDIA"
"5212","05212","COPACABANA"
"5234","05234","DABEIBA"
"5237","05237","DON MATIAS"
"5240","05240","EBEJICO"
"5250","05250","EL BAGRE"
"5264","05264","ENTRERRIOS"
"5266","05266","ENVIGADO"
"5282","05282","FREDONIA"
"5284","05284","FRONTINO"
"5306","05306","GIRALDO"
"5308","05308","GIRARDOTA"
"5310","05310","GOMEZ PLATA"
"5313","05313","GRANADA"
"5315","05315","GUADALUPE"
"5318","05318","GUARNE"
"5321","05321","GUATAPE"
"5347","05347","HELICONIA"
"5353","05353","HISPANIA"
"5360","05360","ITAGUI"
"5361","05361","ITUANGO"
"5364","05364","JARDIN"
"5368","05368","JERICO"
"5376","05376","LA CEJA"
"5380","05380","LA ESTRELLA"
"5390","05390","LA PINTADA"
"5400","05400","LA UNION"
"5411","05411","LIBORINA"
"5425","05425","MACEO"
"5440","05440","MARINILLA"
"5467","05467","MONTEBELLO"
"5475","05475","MURINDO"
"5480","05480","MUTATA"
"5483","05483","NARINO"
"5490","05490","NECOCLI"
"5495","05495","NECHI"
"5501","05501","OLAYA"
"5541","05541","PENOL"
"5543","05543","PEQUE"
"5576","05576","PUEBLORRICO"
"5579","05579","PUERTO BERRIO"
"5585","05585","PUERTO NARE"
"5591","05591","PUERTO TRIUNFO"
"5604","05604","REMEDIOS"
"5607","05607","RETIRO"
"5615","05615","RIONEGRO"
"5628","05628","SABANALARGA"
"5631","05631","SABANETA"
"5642","05642","SALGAR"
"5647","05647","SAN ANDRES"
"5649","05649","SAN CARLOS"
"5652","05652","SAN FRANCISCO"
"5656","05656","SAN JERONIMO"
"5658","05658","SAN JOSE DE LA MONTANA"
"5659","05659","SAN JUAN DE URABA"
"5660","05660","SAN LUIS"
"5664","05664","SAN PEDRO"
"5665","05665","SAN PEDRO DE URABA"
"5667","05667","SAN RAFAEL"
"5670","05670","SAN ROQUE"
"5674","05674","SAN VICENTE"
"5679","05679","SANTA BARBARA"
"5686","05686","SANTA ROSA DE OSOS"
"5690","05690","SANTO DOMINGO"
"5697","05697","EL SANTUARIO"
"5736","05736","SEGOVIA"
"5756","05756","SONSON"
"5761","05761","SOPETRAN"
"5789","05789","TAMESIS"
"5790","05790","TARAZA"
"5792","05792","TARSO"
"5809","05809","TITIRIBI"
"5819","05819","TOLEDO"
"5837","05837","TURBO"
"5842","05842","URAMITA"
"5847","05847","URRAO"
"5854","05854","VALDIVIA"
"5856","05856","VALPARAISO"
"5858","05858","VEGACHI"
"5861","05861","VENECIA"
"5873","05873","VIGIA DEL FUERTE"
"5885","05885","YALI"
"5887","05887","YARUMAL"
"5890","05890","YOLOMBO"
"5893","05893","YONDO"
"5895","05895","ZARAGOZA"
"8001","08001","BARRANQUILLA"
"8078","08078","BARANOA"
