"id","name","code"
"1","Amazonas","91"
"2","Antioquia","05"
"3","Arauca","81"
"4","Atlántico","08"
"5","Bogotá","11"
"6","Bolívar","13"
"7","Boyacá","15"
"8","Caldas","17"
"9","Caquetá","18"
"10","Casanare","85"
"11","Cauca","19"
"12","Cesar","20"
"13","Chocó","27"
"14","Córdoba","23"
"15","Cundinamarca","25"
"16","Guainía","94"
"17","Guaviare","95"
"18","Huila","41"
"19","La Guajira","44"
"20","Magdalena","47"
"21","Meta","50"
"22","Nariño","52"
"23","Norte de Santander","54"
"24","Putumayo","86"
"25","Quindío","63"
"26","Risaralda","66"
"27","San Andrés y Providencia","88"
"28","Santander","68"
"29","Sucre","70"
"30","Tolima","73"
"31","Valle del Cauca","76"
"32","Vaupés","97"
"33","Vichada","99"
