"id","code","description","division/id","hierarchy","parent/id","section/id","hasDivision","hasParent","hasSection"
"ciiu.1","SECCIÓN A","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",,,,,"False","False","False"
"ciiu.01",1,"Agricultura, ganadería, caza y actividades de servicios conexas ",,,,"ciiu.1","False","False","True"
"ciiu.011",11,"Cultivos agrícolas transitorios ","ciiu.01",,,,"True","False","False"
"ciiu.0111",111,"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",,,"ciiu.011",,"False","True","False"
"ciiu.0112",112,"Cultivo de arroz ",,,"ciiu.011",,"False","True","False"
"ciiu.0113",113,"Cultivo de hortalizas, raíces y tubérculos ",,,"ciiu.011",,"False","True","False"
"ciiu.0114",114,"Cultivo de tabaco ",,,"ciiu.011",,"False","True","False"
"ciiu.0115",115,"Cultivo de plantas textiles ",,,"ciiu.011",,"False","True","False"
"ciiu.0119",119,"Otros cultivos transitorios n.c.p.",,,"ciiu.011",,"False","True","False"
"ciiu.012",12,"Cultivos agrícolas permanentes ","ciiu.01",,,,"True","False","False"
"ciiu.0121",121,"Cultivo de frutas tropicales y subtropicales",,,"ciiu.012",,"False","True","False"
"ciiu.0122",122,"Cultivo de plátano y banano",,,"ciiu.012",,"False","True","False"
"ciiu.0123",123,"Cultivo de café",,,"ciiu.012",,"False","True","False"
"ciiu.0124",124,"Cultivo de caña de azúcar",,,"ciiu.012",,"False","True","False"
"ciiu.0125",125,"Cultivo de flor de corte",,,"ciiu.012",,"False","True","False"
"ciiu.0126",126,"Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos",,,"ciiu.012",,"False","True","False"
"ciiu.0127",127,"Cultivo de plantas con las que se preparan bebidas",,,"ciiu.012",,"False","True","False"
"ciiu.0128",128,"Cultivo de especias y de plantas aromáticas y medicinales ",,,"ciiu.012",,"False","True","False"
"ciiu.0129",129,"Otros cultivos permanentes n.c.p.",,,"ciiu.012",,"False","True","False"
"ciiu.013",13,"Propagación de plantas (actividades de los viveros, excepto viveros forestales) ","ciiu.01",,,,"True","False","False"
"ciiu.0130",130,"Propagación de plantas (actividades de los viveros, excepto viveros forestales) ",,,"ciiu.013",,"False","True","False"
"ciiu.014",14,"Ganadería ","ciiu.01",,,,"True","False","False"
"ciiu.0141",141,"Cría de ganado bovino y bufalino",,,"ciiu.014",,"False","True","False"
"ciiu.0142",142,"Cría de caballos y otros equinos ",,,"ciiu.014",,"False","True","False"
"ciiu.0143",143,"Cría de ovejas y cabras ",,,"ciiu.014",,"False","True","False"
"ciiu.0144",144,"Cría de ganado porcino",,,"ciiu.014",,"False","True","False"
"ciiu.0145",145,"Cría de aves de corral",,,"ciiu.014",,"False","True","False"
"ciiu.0149",149,"Cría de otros animales n.c.p.",,,"ciiu.014",,"False","True","False"
"ciiu.015",15,"Explotación mixta (agrícola y pecuaria) ","ciiu.01",,,,"True","False","False"
"ciiu.0150",150,"Explotación mixta (agrícola y pecuaria) ",,,"ciiu.015",,"False","True","False"
"ciiu.016",16,"Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha ","ciiu.01",,,,"True","False","False"
"ciiu.0161",161,"Actividades de apoyo a la agricultura ",,,"ciiu.016",,"False","True","False"
"ciiu.0162",162,"Actividades de apoyo a la ganadería",,,"ciiu.016",,"False","True","False"
"ciiu.0163",163,"Actividades posteriores a la cosecha ",,,"ciiu.016",,"False","True","False"
"ciiu.0164",164,"Tratamiento de semillas para propagación ",,,"ciiu.016",,"False","True","False"
"ciiu.017",17,"Caza ordinaria y mediante trampas y actividades de servicios conexas ","ciiu.01",,,,"True","False","False"
"ciiu.0170",170,"Caza ordinaria y mediante trampas y actividades de servicios conexas ",,,"ciiu.017",,"False","True","False"
"ciiu.02",2,"Silvicultura y extracción de madera",,,,"ciiu.1","False","False","True"
