"id","name","code"
"11","Cultivos agrícolas transitorios.","011"
"12","Cultivos agrícolas permanentes.","012"
"13","Propagación  de  plantas  (actividades  de  los  viveros,  excepto  viveros forestales).","013"
"14","Ganadería.","014"
"15","Explotación mixta (agrícola y pecuaria).","015"
"16","Actividades  de  apoyo  a  la  agricultura  y  la  ganadería,  y  actividades posteriores a la cosecha.","016"
"17","Caza ordinaria y mediante trampas y actividades de servicios conexas.","017"
"21","Silvicultura y otras actividades forestales.","021"
"22","Extracción de madera.","022"
"23","Recolección de productos forestales diferentes a la madera.","023"
"24","Servicios de apoyo a la silvicultura.","024"
"31","Pesca.","031"
"32","Acuicultura.","032"
"51","Extracción de hulla (carbón de piedra).","051"
"52","Extracción de carbón lignito.","052"
"61","Extracción de petróleo crudo.","061"
"62","Extracción de gas natural.","062"
"71","Extracción de minerales de hierro.","071"
"72","Extracción de minerales metalíferos no ferrosos.","072"
"81","Extracción de piedra, arena, arcillas, cal, yeso, caolín, bentonitas y similares.","081"
"82","Extracción de esmeraldas, piedras preciosas y semipreciosas.","082"
"89","Extracción de otros minerales no metálicos n.c.p.","089"
"91","Actividades de apoyo para la extracción de petróleo y de gas natural.","091"
"99","Actividades  de  apoyo  para  otras  actividades  de  explotación  de  minas  y canteras.","099"
"101","Procesamiento y conservación de carne, pescado, crustáceos y moluscos.","101"
"102","Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos.","102"
"103","Elaboración de aceites y grasas de origen vegetal y animal.","103"
"104","Elaboración de productos lácteos.","104"
"105","Elaboración  de  productos  de  molinería,  almidones  y  productos  derivados del almidón.","105"
"106","Elaboración de productos de café.","106"
"107","Elaboración de azúcar y panela.","107"
"108","Elaboración de otros productos alimenticios.","108"
"109","Elaboración de alimentos preparados para animales.","109"
"110","Elaboración de bebidas.","110"
"120","Elaboración de productos de tabaco.","120"
"131","Preparación, hilatura, tejeduría y acabado de productos textiles.","131"
"139","Fabricación de otros productos textiles.","139"
"141","Confección de prendas de vestir, excepto prendas de piel.","141"
"142","Fabricación de artículos de piel.","142"
"143","Fabricación de artículos de punto y ganchillo.","143"
"151","Curtido  y  recurtido  de  cueros;  fabricación  de  artículos  de  viaje,  bolsos  de mano  y  artículos  similares,  y  fabricación  de  artículos  de  talabartería  y guarnicionería, adobo y teñido de pieles.","151"
"152","Fabricación de calzado.","152"
"161","Aserrado, acepillado e impregnación de la madera.","161"
"162","Fabricación  de  hojas  de  madera  para  enchapado;  fabricación  de  tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles.","162"
"163","Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción.","163"
"164","Fabricación de recipientes de madera.","164"
"169","Fabricación  de  otros  productos  de  madera;  fabricación  de  artículos  de corcho, cestería y espartería.","169"
"170","Fabricación de papel, cartón y productos de papel y cartón.","170"
"181","Actividades  de  impresión  y  actividades  de  servicios  relacionados  con  la impresión.","181"
"182","Producción de copias a partir de grabaciones originales.","182"
"191","Fabricación de productos de hornos de coque.","191"
"192","Fabricación de productos de la refinación del petróleo.","192"
"201","Fabricación  de  sustancias  químicas  básicas,  abonos  y  compuestos inorgánicos nitrogenados, plásticos y caucho sintético en formas primarias.","201"
"202","Fabricación de otros productos químicos.","202"
"203","Fabricación de fibras sintéticas y artificiales.","203"
"210","Fabricación  de  productos  farmacéuticos,  sustancias  químicas  medicinales  y productos botánicos de uso farmacéutico.","210"
"221","Fabricación de productos de caucho.","221"
"222","Fabricación de productos de plástico.","222"
"231","Fabricación de vidrio y productos de vidrio.","231"
"239","Fabricación de productos minerales no metálicos n.c.p.","239"
"241","Industrias básicas de hierro y de acero.","241"
"242","Industrias básicas de metales preciosos y de metales no ferrosos.","242"
"243","Fundición de metales.","243"
"251","Fabricación de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor.","251"
"252","Fabricación de armas y municiones.","252"
"259","Fabricación  de  otros  productos  elaborados  de  metal  y  actividades  de servicios relacionadas con el trabajo de metales.","259"
"261","Fabricación de componentes y tableros electrónicos.","261"
"262","Fabricación de computadoras y de equipo periférico.","262"
"263","Fabricación de equipos de comunicación.","263"
"264","Fabricación de aparatos electrónicos de consumo.","264"
"265","Fabricación de equipo de medición, prueba, navegación y control; fabricación de relojes.","265"
"266","Fabricación  de  equipo  de  irradiación  y  equipo  electrónico  de  uso  médico  y terapéutico.","266"
"267","Fabricación de instrumentos ópticos y equipo fotográfico.","267"
"268","Fabricación de medios magnéticos y ópticos para almacenamiento de datos.","268"
"271","Fabricación  de  motores,  generadores  y  transformadores  eléctricos  y  de aparatos de distribución y control de la energía eléctrica.","271"
"272","Fabricación de pilas, baterías y acumuladores eléctricos.","272"
"273","Fabricación de hilos y cables aislados y sus dispositivos.","273"
"274","Fabricación de equipos eléctricos de iluminación.","274"
"275","Fabricación de aparatos de uso doméstico.","275"
"279","Fabricación de otros tipos de equipo eléctrico n.c.p.","279"
"281","Fabricación de maquinaria y equipo de uso general.","281"
"282","Fabricación de maquinaria y equipo de uso especial.","282"
"291","Fabricación de vehículos automotores y sus motores.","291"
"292","Fabricación  de  carrocerías  para  vehículos  automotores;  fabricación  de remolques y semirremolques.","292"
"293","Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores.","293"
"301","Construcción de barcos y otras embarcaciones.","301"
"302","Fabricación de locomotoras y de material rodante para ferrocarriles.","302"
"303","Fabricación de aeronaves, naves espaciales y de maquinaria conexa.","303"
"304","Fabricación de vehículos militares de combate.","304"
"309","Fabricación de otros tipos de equipo de transporte n.c.p.","309"
"311","Fabricación de muebles.","311"
"312","Fabricación de colchones y somieres.","312"
"321","Fabricación de joyas, bisutería y artículos conexos.","321"
"322","Fabricación de instrumentos musicales.","322"
"323","Fabricación de artículos y equipo para la práctica del deporte.","323"
"324","Fabricación de juegos, juguetes y rompecabezas.","324"
"325","Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario).","325"
"329","Otras industrias manufactureras n.c.p.","329"
"331","Mantenimiento y reparación especializado de productos elaborados en metal y de maquinaria y equipo.","331"
"332","Instalación especializada de maquinaria y equipo industrial.","332"
"351","Generación, transmisión, distribución y comercialización de energía eléctrica.","351"
"352","Producción de gas; distribución de combustibles gaseosos por tuberías.","352"
"353","Suministro de vapor y aire acondicionado.","353"
"360","Captación, tratamiento y distribución de agua.","360"
"370","Evacuación y tratamiento de aguas residuales.","370"
"381","Recolección de desechos.","381"
"382","Tratamiento y disposición de desechos.","382"
"383","Recuperación de materiales.","383"
"390","Actividades  de  saneamiento  ambiental  y  otros  servicios  de  gestión  de desechos.","390"
"411","Construcción de edificios.","411"
"421","Construcción de carreteras y vías de ferrocarril.","421"
"422","Construcción de proyectos de servicio público.","422"
"429","Construcción de otras obras de ingeniería civil.","429"
"431","Demolición y preparación del terreno.","431"
"432","Instalaciones eléctricas, de fontanería y otras instalaciones especializadas.","432"
"433","Terminación y acabado de edificios y obras de ingeniería civil.","433"
"439","Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil.","439"
"451","Comercio de vehículos automotores.","451"
"452","Mantenimiento y reparación de vehículos automotores.","452"
"453","Comercio  de  partes,  piezas  (autopartes)  y  accesorios  (lujos)  para  vehículos automotores.","453"
"454","Comercio,  mantenimiento  y  reparación  de  motocicletas  y  de  sus  partes, piezas y accesorios.","454"
"461","Comercio al por mayor a cambio de una retribución o por contrata.","461"
"462","Comercio al por mayor de materias primas agropecuarias; animales vivos.","462"
"463","Comercio al por mayor de alimentos, bebidas y tabaco.","463"
"464","Comercio al por mayor de artículos y enseres domésticos (incluidas prendas de vestir).","464"
"465","Comercio al por mayor de maquinaria y equipo.","465"
"466","Comercio al por mayor especializado de otros productos.","466"
"469","Comercio al por mayor no especializado.","469"
"471","Comercio al por menor en establecimientos no especializados.","471"
"472","Comercio  al  por  menor  de  alimentos  (víveres  en  general),  bebidas  y  tabaco, en establecimientos especializados.","472"
"473","Comercio al  por  menor  de  combustible, lubricantes,  aditivos y  productos  de limpieza para automotores, en establecimientos especializados.","473"
"474","Comercio  al  por  menor  de  equipos  de  informática  y  de  comunicaciones,  en establecimientos especializados.","474"
"475","Comercio  al  por  menor  de  otros  enseres  domésticos  en  establecimientos especializados.","475"
